id,name,country,founding_date,description,company_id
0,Mayer and Sons,Sweden,2021-06-11T02:09:34Z,Secured scalable standardization,1
1,Bartoletti and Sons,,,Sharable contextually-based instruction set,2
2,"West, Abernathy and Monahan",Azerbaijan,2021-01-27T00:08:32Z,,3
3,Pagac-Bechtelar,Indonesia,,,4
4,Kertzmann-McDermott,Ukraine,2019-04-30T00:09:45Z,Optional holistic standardization,5
5,Schaefer-Schaden,China,2019-09-15T03:56:35Z,Right-sized discrete structure,6
6,"Hegmann, Kautzer and Schoen",Mongolia,2018-11-03T19:17:21Z,Integrated zero administration synergy,7
7,Casper and Sons,China,2019-03-20T20:58:48Z,Cross-platform stable project,8
8,Huel-Nader,Portugal,2020-07-17T18:26:14Z,Fully-configurable asymmetric application,9
9,Kemmer Group,,2018-10-24T09:38:52Z,Progressive stable benchmark,10
10,Roob-Blick,Guatemala,,Versatile impactful hierarchy,11
11,Donnelly-Volkman,Botswana,2019-07-11T21:39:54Z,Customer-focused responsive system engine,12
12,Kassulke-Schumm,,2021-09-03T08:09:20Z,,13
13,Kutch-Cremin,Swaziland,2019-05-03T22:11:38Z,Fully-configurable mobile approach,14
14,Abbott-Lueilwitz,Indonesia,2020-01-24T16:15:12Z,,15
15,Wintheiser-Klocko,United States,2020-08-04T04:43:16Z,Optimized mission-critical middleware,16
16,Koepp Group,,2020-07-26T22:32:17Z,Expanded national artificial intelligence,17
17,"Stanton, Rolfson and Kris",Portugal,2020-09-15T03:15:10Z,Synergistic 3rd generation database,18
18,Huel Inc,Israel,2019-10-23T09:17:27Z,Open-source high-level superstructure,19
19,Ruecker-Mayert,Cambodia,2019-07-13T06:39:36Z,Multi-layered 3rd generation software,20
20,Romaguera-Skiles,Palestinian Territory,2019-11-06T19:54:34Z,Monitored even-keeled strategy,21
21,Pagac Group,China,2019-06-09T15:12:07Z,Adaptive 5th generation local area network,22
22,"Reinger, Wiegand and Hermiston",Afghanistan,,,23
23,Cremin Group,Vietnam,2020-06-09T04:40:45Z,Open-source client-driven software,24
24,"Walter, Klocko and Ullrich",China,2021-04-29T10:32:04Z,Progressive heuristic matrices,25
25,Terry-Hartmann,Colombia,2019-05-10T15:11:37Z,Synergized local functionalities,26
26,Cormier-Kihn,Philippines,2018-09-28T21:24:32Z,,27
27,Hane LLC,China,2019-01-29T19:13:21Z,Switchable global website,28
28,"Lehner, Johnston and Sipes",,2019-09-20T12:49:12Z,,29
29,"Kling, Huel and Bogan",France,2019-01-15T22:57:21Z,,30
30,Hoppe Inc,China,2021-06-18T14:18:04Z,Object-based non-volatile architecture,31
31,Stark-Prosacco,,2019-01-30T11:18:15Z,Programmable bottom-line open system,32
32,"Emard, Borer and Gutkowski",Afghanistan,2019-08-09T12:15:02Z,Open-architected analyzing workforce,33
33,"Schamberger, Turner and Lemke",Zimbabwe,2018-10-24T00:58:41Z,Extended context-sensitive matrix,34
34,Larkin Group,Russia,2021-06-13T06:47:12Z,Operative even-keeled artificial intelligence,35
35,West Inc,Austria,2018-10-21T18:08:08Z,,36
36,"Becker, Carroll and D'Amore",Sweden,2021-10-25T16:42:27Z,Innovative client-driven synergy,37
37,Mayert Inc,Armenia,2019-12-21T21:17:07Z,Balanced web-enabled customer loyalty,38
38,Jakubowski Group,China,2021-04-27T22:34:40Z,De-engineered asynchronous methodology,39
39,Carter-Schaefer,China,,Synchronised hybrid forecast,40
